Date,CountryRegion,ProvinceState,CumulativeConfirmed,DailyConfirmed,CumulativeDeaths,DailyDeaths
3/8/2020,Armenia,,1,0,0,0
3/9/2020,Armenia,,1,0,0,0
3/10/2020,Armenia,,1,0,0,0
3/11/2020,Armenia,,1,0,0,0
3/12/2020,Armenia,,4,3,0,0
3/13/2020,Armenia,,8,4,0,0
3/14/2020,Armenia,,18,10,0,0
3/15/2020,Armenia,,26,8,0,0
3/16/2020,Armenia,,52,26,0,0
3/17/2020,Armenia,,78,26,0,0
3/18/2020,Armenia,,84,6,0,0
3/19/2020,Armenia,,115,31,0,0
3/20/2020,Armenia,,136,21,0,0
3/21/2020,Armenia,,160,24,0,0
3/22/2020,Armenia,,194,34,0,0
3/23/2020,Armenia,,235,41,0,0
3/24/2020,Armenia,,249,14,0,0
3/25/2020,Armenia,,265,16,0,0
3/26/2020,Armenia,,290,25,1,1
1/22/2020,Australia,Australian Capital Territory,0,0,0,0
1/23/2020,Australia,Australian Capital Territory,0,0,0,0
1/24/2020,Australia,Australian Capital Territory,0,0,0,0
1/25/2020,Australia,Australian Capital Territory,0,0,0,0
1/26/2020,Australia,Australian Capital Territory,0,0,0,0
1/27/2020,Australia,Australian Capital Territory,0,0,0,0
1/28/2020,Australia,Australian Capital Territory,0,0,0,0
1/29/2020,Australia,Australian Capital Territory,0,0,0,0
1/30/2020,Australia,Australian Capital Territory,0,0,0,0
1/31/2020,Australia,Australian Capital Territory,0,0,0,0
2/1/2020,Australia,Australian Capital Territory,0,0,0,0
2/2/2020,Australia,Australian Capital Territory,0,0,0,0
2/3/2020,Australia,Australian Capital Territory,0,0,0,0
2/4/2020,Australia,Australian Capital Territory,0,0,0,0
2/5/2020,Australia,Australian Capital Territory,0,0,0,0
2/6/2020,Australia,Australian Capital Territory,0,0,0,0
2/7/2020,Australia,Australian Capital Territory,0,0,0,0
2/8/2020,Australia,Australian Capital Territory,0,0,0,0
2/9/2020,Australia,Australian Capital Territory,0,0,0,0
2/10/2020,Australia,Australian Capital Territory,0,0,0,0
2/11/2020,Australia,Australian Capital Territory,0,0,0,0
2/12/2020,Australia,Australian Capital Territory,0,0,0,0
2/13/2020,Australia,Australian Capital Territory,0,0,0,0
2/14/2020,Australia,Australian Capital Territory,0,0,0,0
2/15/2020,Australia,Australian Capital Territory,0,0,0,0
2/16/2020,Australia,Australian Capital Territory,0,0,0,0
2/17/2020,Australia,Australian Capital Territory,0,0,0,0
2/18/2020,Australia,Australian Capital Territory,0,0,0,0
2/19/2020,Australia,Australian Capital Territory,0,0,0,0
2/20/2020,Australia,Australian Capital Territory,0,0,0,0
2/21/2020,Australia,Australian Capital Territory,0,0,0,0
2/22/2020,Australia,Australian Capital Territory,0,0,0,0
2/23/2020,Australia,Australian Capital Territory,0,0,0,0
2/24/2020,Australia,Australian Capital Territory,0,0,0,0
2/25/2020,Australia,Australian Capital Territory,0,0,0,0
2/26/2020,Australia,Australian Capital Territory,0,0,0,0
2/27/2020,Australia,Australian Capital Territory,0,0,0,0
2/28/2020,Australia,Australian Capital Territory,0,0,0,0
2/29/2020,Australia,Australian Capital Territory,0,0,0,0
3/1/2020,Australia,Australian Capital Territory,0,0,0,0
3/2/2020,Australia,Australian Capital Territory,0,0,0,0
3/3/2020,Australia,Australian Capital Territory,0,0,0,0
3/4/2020,Australia,Australian Capital Territory,0,0,0,0
3/5/2020,Australia,Australian Capital Territory,0,0,0,0
3/6/2020,Australia,Australian Capital Territory,0,0,0,0
3/7/2020,Australia,Australian Capital Territory,0,0,0,0
3/8/2020,Australia,Australian Capital Territory,0,0,0,0
3/9/2020,Australia,Australian Capital Territory,0,0,0,0
3/10/2020,Australia,Australian Capital Territory,0,0,0,0
3/11/2020,Australia,Australian Capital Territory,0,0,0,0
3/12/2020,Australia,Australian Capital Territory,0,0,0,0
3/13/2020,Australia,Australian Capital Territory,1,1,0,0
3/14/2020,Australia,Australian Capital Territory,1,0,0,0
3/15/2020,Australia,Australian Capital Territory,1,0,0,0
3/16/2020,Australia,Australian Capital Territory,2,1,0,0
3/17/2020,Australia,Australian Capital Territory,2,0,0,0
3/18/2020,Australia,Australian Capital Territory,3,1,0,0
3/19/2020,Australia,Australian Capital Territory,4,1,0,0
3/20/2020,Australia,Australian Capital Territory,6,2,0,0
3/21/2020,Australia,Australian Capital Territory,9,3,0,0
3/22/2020,Australia,Australian Capital Territory,19,10,0,0
3/23/2020,Australia,Australian Capital Territory,32,13,0,0
3/24/2020,Australia,Australian Capital Territory,39,7,0,0
3/25/2020,Australia,Australian Capital Territory,39,0,0,0
3/26/2020,Australia,Australian Capital Territory,53,14,0,0
1/22/2020,Australia,From Diamond Princess,0,0,0,0
1/23/2020,Australia,From Diamond Princess,0,0,0,0
1/24/2020,Australia,From Diamond Princess,0,0,0,0
1/25/2020,Australia,From Diamond Princess,0,0,0,0
1/26/2020,Australia,From Diamond Princess,0,0,0,0
1/27/2020,Australia,From Diamond Princess,0,0,0,0
1/28/2020,Australia,From Diamond Princess,0,0,0,0
1/29/2020,Australia,From Diamond Princess,0,0,0,0
1/30/2020,Australia,From Diamond Princess,0,0,0,0
1/31/2020,Australia,From Diamond Princess,0,0,0,0
2/1/2020,Australia,From Diamond Princess,0,0,0,0
2/2/2020,Australia,From Diamond Princess,0,0,0,0
2/3/2020,Australia,From Diamond Princess,0,0,0,0
2/4/2020,Australia,From Diamond Princess,0,0,0,0
2/5/2020,Australia,From Diamond Princess,0,0,0,0
2/6/2020,Australia,From Diamond Princess,0,0,0,0
2/7/2020,Australia,From Diamond Princess,0,0,0,0
2/8/2020,Australia,From Diamond Princess,0,0,0,0
